projectid,project_oid,subject,body,category,category_name,area,area_name,region,region_name,company_ad,price,rooms,size,ward,ward_name,price_million_per_m2,location,longitude,latitude,zero_deposit,street_name,area_v2,web_url,facilities_key,surrounding_key,investor_id,investor_name
2464,1582239957,9447,4006,1020,1,13,23,2,42,True,2000000000.0,2.0,100.0,9134.0,369,20.0,900,105.48113,10.80574,False,478,23,679,131,87,378,186
2464,1582239957,7484,541,1020,1,13,23,2,42,True,2100000000.0,2.0,100.0,9134.0,369,21.0,899,105.4811,10.8057,False,1007,23,679,131,87,378,186
2464,1582239957,9642,7449,1020,1,13,23,2,42,False,33333333333.0,3.0,1000.0,9134.0,369,33.333333333,899,105.4811,10.8057,False,478,23,679,131,87,378,186
2464,1582239957,4130,3790,1020,1,13,23,2,42,False,1300000000.0,2.0,105.0,9134.0,369,12.38095238095238,899,105.4811,10.8057,False,478,23,679,131,87,378,186
2464,1582239957,4366,8206,1010,0,13,23,2,42,True,350000000.0,1.0,33.0,9134.0,369,10.606060606060606,899,105.4811,10.8057,False,478,23,679,131,87,378,186
2464,1582239957,9016,5396,1010,0,13,23,2,42,True,350000000.0,1.0,35.0,9134.0,369,10.0,899,105.4811,10.8057,False,478,23,679,131,87,378,186
2464,1582239957,9351,7468,1020,1,13,23,2,42,True,1650000000.0,2.0,100.0,9134.0,369,16.5,899,105.4811,10.8057,False,478,23,679,131,87,378,186
2464,1582239957,3263,3504,1010,0,13,23,2,42,False,700000000.0,1.0,33.0,9134.0,369,21.21212121212121,899,105.4811,10.8057,False,478,23,679,131,87,378,186
2464,1582239957,9667,7425,1020,1,13,23,2,42,False,3500000000.0,3.0,254.0,9134.0,369,13.77952755905512,899,105.4811,10.8057,False,478,23,679,131,87,378,186
2464,1582239957,2163,2808,1010,0,13,23,2,42,False,690000000.0,1.0,35.0,9134.0,369,19.714285714285715,899,105.4811,10.8057,False,1007,23,679,131,87,378,186
284,405530665,2225,2227,1010,0,6,37,1,13,True,3620000000.0,2.0,71.0,4117.0,402,50.985915492957744,1688,105.9217,20.9743,False,717,37,681,492,225,975,542
284,405530665,1936,7084,1010,0,6,37,1,13,True,2900000000.0,2.0,56.0,4117.0,402,51.785714285714285,1688,105.9217,20.9743,False,717,37,681,492,225,975,542
284,405530665,1777,8947,1020,1,6,37,1,13,False,6000000000.0,4.0,88.0,4117.0,402,68.18181818181819,1688,105.9217,20.9743,False,717,37,681,492,225,975,542
284,405530665,9056,7935,1010,0,6,37,1,13,True,2700000000.0,2.0,56.0,4117.0,402,48.21428571428572,1689,105.9218,20.9744,False,717,37,681,492,225,975,542
284,405530665,449,4784,1010,0,6,37,1,13,True,2700000000.0,2.0,55.0,4117.0,402,49.09090909090909,1688,105.9217,20.9743,False,717,37,681,492,225,975,542
284,405530665,8269,7936,1010,0,6,37,1,13,True,2700000000.0,2.0,56.0,4117.0,402,48.21428571428572,1688,105.9217,20.9743,False,717,37,681,492,225,975,542
284,405530665,8261,8745,1010,0,6,37,1,13,True,2700000000.0,2.0,56.0,4117.0,402,48.21428571428572,1689,105.9218,20.9744,False,717,37,681,492,225,975,542
284,405530665,4090,3064,1020,1,6,37,1,13,False,52500000000.0,4.0,300.0,4117.0,402,175.0,1688,105.9217,20.9743,False,717,37,681,492,225,975,542
284,405530665,2,34,1020,1,6,37,1,13,False,3444344442.0,6.0,110.0,4117.0,402,31.3122222,1688,105.9217,20.9743,False,717,37,681,492,225,975,542
284,405530665,3153,4402,1010,0,6,37,1,13,False,3800000000.0,2.0,62.0,4117.0,402,61.29032258064516,1688,105.9217,20.9743,False,717,37,681,492,225,975,542
284,405530665,3834,9915,1010,0,6,37,1,13,False,17000000000.0,5.0,210.0,4117.0,402,80.95238095238095,1688,105.9217,20.9743,False,717,37,681,492,225,975,542
284,405530665,1889,866,1010,0,6,37,1,13,False,2550000000.0,2.0,58.5998,4117.0,402,43.51550687886306,1687,105.9216,20.9743,False,717,37,681,492,225,975,542
3654,1728959123,9887,796,1040,3,115,1,13,36,True,1500000000.0,2.289795498920974,100.0,9522.0,389,15.0,100,106.5854,10.6555,False,874,1,879,228,225,975,542
4883,619633814,5820,10024,1010,0,11,91,2,2,False,1500000000.0,1.0,37.0,8943.0,25,40.54054054054054,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,5788,9522,1010,0,11,91,2,2,True,985000000.0,1.0,33.0,8943.0,25,29.848484848484848,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,254,10338,1010,0,11,91,2,2,True,950000000.0,1.0,30.0,8943.0,25,31.666666666666668,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,5550,9323,1010,0,11,91,2,2,True,960000000.0,1.0,32.0,8943.0,25,30.0,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,2460,9599,1010,0,11,91,2,2,True,970000000.0,1.0,31.0,8943.0,25,31.29032258064516,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,10320,10265,1010,0,11,91,2,2,False,2100000000.0,2.0,61.0,8943.0,25,34.42622950819672,1218,106.7569,10.8749,False,616,91,963,577,146,1973,416
4883,619633814,4655,9409,1010,0,11,91,2,2,True,950000000.0,1.0,32.0,8943.0,25,29.6875,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,5680,6287,1010,0,11,91,2,2,True,2072000000.0,2.0,60.0,8943.0,25,34.53333333333333,1216,106.7567,10.8747,False,616,91,963,577,146,1973,416
4883,619633814,8321,4303,1010,0,11,91,2,2,False,1400000000.0,1.0,33.0,8943.0,25,42.42424242424242,1218,106.7569,10.8749,False,616,91,963,577,146,1973,416
4883,619633814,4681,3868,1010,0,11,91,2,2,True,8500000000.0,1.0,108.0,8943.0,25,78.70370370370371,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,5762,7663,1010,0,11,91,2,2,False,1900000000.0,2.0,55.0,8943.0,25,34.54545454545455,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,8796,9875,1010,0,11,91,2,2,True,2350000000.0,2.0,60.0,8943.0,25,39.16666666666666,1218,106.7569,10.8749,False,424,91,963,577,146,1973,416
4883,619633814,7891,10346,1010,0,11,91,2,2,True,2400000000.0,2.0,60.0,8943.0,25,40.0,1216,106.7567,10.8747,False,616,91,963,577,146,1973,416
4883,619633814,444,9565,1010,0,11,91,2,2,True,1000000000.0,1.0,33.0,8943.0,25,30.303030303030305,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,5239,8808,1010,0,11,91,2,2,True,1800000000.0,2.0,60.0,8943.0,25,30.0,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,4667,7926,1010,0,11,91,2,2,True,1300000000.0,2.0,50.0,8943.0,25,26.0,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,9371,7090,1010,0,11,91,2,2,False,2020000000.0,2.0,59.0,8943.0,25,34.23728813559322,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,9516,10339,1010,0,11,91,2,2,True,980000000.0,1.0,35.0,8943.0,25,28.0,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,5792,4657,1010,0,11,91,2,2,True,1100000000.0,1.0,54.0,8943.0,25,20.37037037037037,1218,106.7569,10.8749,False,587,91,963,577,146,1973,416
4883,619633814,10111,9229,1010,0,11,91,2,2,True,1200000000.0,1.0,33.0,8943.0,25,36.36363636363637,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,5771,8398,1010,0,11,91,2,2,True,2150000000.0,2.0,60.0,8943.0,25,35.833333333333336,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,5636,8986,1010,0,11,91,2,2,True,2475000000.0,2.0,55.0,8943.0,25,45.0,1218,106.7569,10.8749,False,424,91,963,577,146,1973,416
4883,619633814,5506,7664,1010,0,11,91,2,2,False,2000000000.0,1.0,55.0,8943.0,25,36.36363636363637,1218,106.7569,10.8749,False,616,91,963,577,146,1973,416
4883,619633814,9904,535,1010,0,11,91,2,2,False,290000000.0,2.0,10.611,8943.0,25,27.330129111299595,1216,106.7567,10.8747,False,616,91,963,577,146,1973,416
4883,619633814,373,9576,1010,0,11,91,2,2,True,1200000000.0,2.0,33.0,8943.0,25,36.36363636363637,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,8001,4306,1010,0,11,91,2,2,True,2300000000.0,2.0,60.0,8943.0,25,38.333333333333336,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,4652,3848,1010,0,11,91,2,2,True,2100000000.0,2.0,60.0,8943.0,25,35.0,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,9743,9717,1010,0,11,91,2,2,True,1900000000.0,2.0,60.0,8943.0,25,31.666666666666668,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,8693,10082,1010,0,11,91,2,2,False,1900000000.0,2.0,56.0,8943.0,25,33.92857142857143,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,9636,6896,1010,0,11,91,2,2,False,950000000.0,2.0,60.0,8943.0,25,15.833333333333334,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,7009,7662,1010,0,11,91,2,2,False,1900000000.0,2.0,55.0,8943.0,25,34.54545454545455,1215,106.7565,10.8746,False,424,91,963,577,146,1973,416
4883,619633814,5679,7099,1010,0,11,91,2,2,True,2000000000.0,2.0,55.0,8943.0,25,36.36363636363637,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,5891,9813,1010,0,11,91,2,2,False,1200000000.0,2.0,60.0,8943.0,25,20.0,1216,106.7567,10.8747,False,424,91,963,577,146,1973,416
4883,619633814,4858,8156,1010,0,11,91,2,2,False,2200000000.0,2.0,60.0,8943.0,25,36.66666666666666,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,2229,6288,1010,0,11,91,2,2,True,1800000000.0,2.0,55.0,8943.0,25,32.72727272727273,1217,106.7568,10.8748,False,616,91,963,577,146,1973,416
4883,619633814,8412,4811,1010,0,11,91,2,2,False,2800000000.0,2.0,58.0,8943.0,25,48.27586206896552,1216,106.7567,10.8747,False,616,91,963,577,146,1973,416
4888,1167970029,9787,3121,1040,3,17,73,3,41,False,2500000000.0,2.289795498920974,75.0,6889.0,139,33.333333333333336,1596,108.1348,16.1049,False,1134,73,1074,577,116,1498,432
4888,1167970029,8432,7747,1010,0,17,73,3,41,True,2200000000.0,2.0,55.0,6889.0,139,40.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8700,9740,1010,0,17,73,3,41,True,7000000000.0,7.0,60.0,6889.0,139,116.66666666666669,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5669,4527,1010,0,17,73,3,41,True,2400000000.0,2.0,55.0,6889.0,139,43.63636363636363,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,32,9548,1010,0,17,73,3,41,True,2500000000.0,2.0,55.0,6889.0,139,45.45454545454545,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8651,4142,1030,2,17,73,3,41,False,17000000000.0,2.289795498920974,100.0,6889.0,139,170.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,172,9549,1010,0,17,73,3,41,True,2600000000.0,2.0,55.0,6889.0,139,47.27272727272727,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,3773,5852,1020,1,17,73,3,41,True,8500000000.0,4.0,100.0,6889.0,139,85.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,4695,3874,1010,0,17,73,3,41,True,2100000000.0,1.0,50.0,6889.0,139,42.0,1546,108.23,16.0503,False,232,73,1074,577,116,1498,432
4888,1167970029,9033,7853,1010,0,17,73,3,41,True,1900000000.0,2.0,50.0,6889.0,139,38.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,143,8970,1010,0,17,73,3,41,True,2200000000.0,2.0,55.0,6889.0,139,40.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,7144,3876,1010,0,17,73,3,41,True,750000000.0,2.0,55.0,6889.0,139,13.636363636363637,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,5903,4146,1010,0,17,73,3,41,True,1900000000.0,2.0,72.0,6889.0,139,26.38888888888889,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,2644,7341,1010,0,17,73,3,41,True,9161652930.0,3.0,99.5999,6889.0,139,91.98455952265012,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,211,386,1010,0,17,73,12,41,True,800000000.0,2.0,53.0,6889.0,139,15.09433962264151,1542,108.2362,16.0433,False,221,73,1074,577,116,1498,432
4888,1167970029,4043,4548,1010,0,17,73,3,41,True,999000000.0,2.0,60.0,6889.0,139,16.65,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,4785,8907,1020,1,17,73,3,41,True,17500000000.0,7.0,100.0,6889.0,139,175.0,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,8698,10097,1010,0,17,73,3,41,True,2200000000.0,1.0,40.0,6889.0,139,55.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,4650,7851,1010,0,17,73,3,41,True,1900000000.0,2.0,50.0,6889.0,139,38.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8650,612,1020,1,17,73,3,41,False,17000000000.0,11.0,100.0,6889.0,139,170.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5865,7940,1010,0,17,73,3,41,True,1350000000.0,1.0,50.0,6889.0,139,27.0,1547,108.2332,16.0506,False,1088,73,1074,577,116,1498,432
4888,1167970029,7301,6661,1010,0,17,73,3,41,True,2200000000.0,2.0,55.0,6889.0,139,40.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8684,8028,1010,0,17,73,3,41,True,1700000000.0,2.0,52.0,6889.0,139,32.69230769230769,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8684,7815,1010,0,17,73,3,41,True,1900000000.0,2.0,50.0,6889.0,139,38.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,7886,9318,1010,0,17,73,3,41,True,9990000000.0,11.0,96.0,6889.0,139,104.0625,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
