,projectid,project_oid,subject,category_name,area_name,region_name,price,rooms,size,ward_name,price_million_per_m2,street_name,area_v2,facilities_key,surrounding_key,investor_id,investor_name
0,2464,1582239957,9670,1,23,42,2000000000.0,2.0,100.0,376,20.0,507,23,136,90,378,186
1,2464,1582239957,7654,1,23,42,2100000000.0,2.0,100.0,376,21.0,1059,23,136,90,378,186
6,2464,1582239957,9572,1,23,42,1650000000.0,2.0,100.0,376,16.5,507,23,136,90,378,186
10,284,405530665,2262,0,37,13,3620000000.0,2.0,71.0,411,50.985915492957744,752,37,503,229,975,542
11,284,405530665,1972,0,37,13,2900000000.0,2.0,56.0,411,51.785714285714285,752,37,503,229,975,542
13,284,405530665,9272,0,37,13,2700000000.0,2.0,56.0,411,48.21428571428572,752,37,503,229,975,542
14,284,405530665,456,0,37,13,2700000000.0,2.0,55.0,411,49.09090909090909,752,37,503,229,975,542
15,284,405530665,8464,0,37,13,2700000000.0,2.0,56.0,411,48.21428571428572,752,37,503,229,975,542
16,284,405530665,8456,0,37,13,2700000000.0,2.0,56.0,411,48.21428571428572,752,37,503,229,975,542
19,284,405530665,3213,0,37,13,3800000000.0,2.0,62.0,411,61.29032258064516,752,37,503,229,975,542
21,284,405530665,1924,0,37,13,2550000000.0,2.0,58.5998,411,43.51550687886306,752,37,503,229,975,542
22,3654,1728959123,10129,3,1,36,1500000000.0,2.2908415841584158,100.0,398,15.0,918,1,235,229,975,542
28,4883,619633814,10571,0,91,2,2100000000.0,2.0,61.0,25,34.42622950819672,648,91,594,149,1973,416
30,4883,619633814,5800,0,91,2,2072000000.0,2.0,60.0,25,34.53333333333333,648,91,594,149,1973,416
33,4883,619633814,5882,0,91,2,1900000000.0,2.0,55.0,25,34.54545454545455,648,91,594,149,1973,416
34,4883,619633814,9006,0,91,2,2350000000.0,2.0,60.0,25,39.16666666666666,445,91,594,149,1973,416
35,4883,619633814,8077,0,91,2,2400000000.0,2.0,60.0,25,40.0,648,91,594,149,1973,416
37,4883,619633814,5350,0,91,2,1800000000.0,2.0,60.0,25,30.0,648,91,594,149,1973,416
38,4883,619633814,4774,0,91,2,1300000000.0,2.0,50.0,25,26.0,648,91,594,149,1973,416
39,4883,619633814,9593,0,91,2,2020000000.0,2.0,59.0,25,34.23728813559322,648,91,594,149,1973,416
43,4883,619633814,5891,0,91,2,2150000000.0,2.0,60.0,25,35.833333333333336,648,91,594,149,1973,416
44,4883,619633814,5756,0,91,2,2475000000.0,2.0,55.0,25,45.0,445,91,594,149,1973,416
47,4883,619633814,380,0,91,2,1200000000.0,2.0,33.0,25,36.36363636363637,648,91,594,149,1973,416
48,4883,619633814,8191,0,91,2,2300000000.0,2.0,60.0,25,38.333333333333336,648,91,594,149,1973,416
49,4883,619633814,4759,0,91,2,2100000000.0,2.0,60.0,25,35.0,648,91,594,149,1973,416
50,4883,619633814,9977,0,91,2,1900000000.0,2.0,60.0,25,31.666666666666668,648,91,594,149,1973,416
51,4883,619633814,8896,0,91,2,1900000000.0,2.0,56.0,25,33.92857142857143,648,91,594,149,1973,416
52,4883,619633814,9868,0,91,2,950000000.0,2.0,60.0,25,15.833333333333334,648,91,594,149,1973,416
53,4883,619633814,7160,0,91,2,1900000000.0,2.0,55.0,25,34.54545454545455,445,91,594,149,1973,416
54,4883,619633814,5799,0,91,2,2000000000.0,2.0,55.0,25,36.36363636363637,648,91,594,149,1973,416
55,4883,619633814,6016,0,91,2,1200000000.0,2.0,60.0,25,20.0,445,91,594,149,1973,416
56,4883,619633814,4968,0,91,2,2200000000.0,2.0,60.0,25,36.66666666666666,648,91,594,149,1973,416
57,4883,619633814,2266,0,91,2,1800000000.0,2.0,55.0,25,32.72727272727273,648,91,594,149,1973,416
58,4883,619633814,8609,0,91,2,2800000000.0,2.0,58.0,25,48.27586206896552,648,91,594,149,1973,416
59,4888,1167970029,10021,3,73,41,2500000000.0,2.2908415841584158,75.0,144,33.333333333333336,1192,73,594,119,1498,432
60,4888,1167970029,8632,0,73,41,2200000000.0,2.0,55.0,144,40.0,783,73,594,119,1498,432
62,4888,1167970029,5789,0,73,41,2400000000.0,2.0,55.0,144,43.63636363636363,783,73,594,119,1498,432
63,4888,1167970029,33,0,73,41,2500000000.0,2.0,55.0,144,45.45454545454545,783,73,594,119,1498,432
65,4888,1167970029,177,0,73,41,2600000000.0,2.0,55.0,144,47.27272727272727,783,73,594,119,1498,432
68,4888,1167970029,9249,0,73,41,1900000000.0,2.0,50.0,144,38.0,783,73,594,119,1498,432
69,4888,1167970029,148,0,73,41,2200000000.0,2.0,55.0,144,40.0,783,73,594,119,1498,432
70,4888,1167970029,7295,0,73,41,750000000.0,2.0,55.0,144,13.636363636363637,599,73,594,119,1498,432
71,4888,1167970029,6028,0,73,41,1900000000.0,2.0,72.0,144,26.38888888888889,783,73,594,119,1498,432
73,4888,1167970029,217,0,73,41,800000000.0,2.0,53.0,144,15.09433962264151,234,73,594,119,1498,432
74,4888,1167970029,4130,0,73,41,999000000.0,2.0,60.0,144,16.65,599,73,594,119,1498,432
77,4888,1167970029,4757,0,73,41,1900000000.0,2.0,50.0,144,38.0,783,73,594,119,1498,432
80,4888,1167970029,7457,0,73,41,2200000000.0,2.0,55.0,144,40.0,783,73,594,119,1498,432
81,4888,1167970029,8887,0,73,41,1700000000.0,2.0,52.0,144,32.69230769230769,783,73,594,119,1498,432
82,4888,1167970029,8887,0,73,41,1900000000.0,2.0,50.0,144,38.0,783,73,594,119,1498,432
86,4888,1167970029,8815,0,73,41,850000000.0,2.0,50.0,144,17.0,599,73,594,119,1498,432
87,4888,1167970029,8902,0,73,41,3800000000.0,2.0,83.1998,144,45.67318671439114,783,73,594,119,1498,432
88,4888,1167970029,4813,0,73,41,3300000000.0,2.0,60.0,144,55.0,783,73,594,119,1498,432
89,4888,1167970029,5828,0,73,41,2100000000.0,2.0,50.0,144,42.0,245,73,594,119,1498,432
